o_hom	e_hom	nm	miss
286922	2.86E+05	350952	0.0008086
286252	2.86E+05	350816	0.001196
287073	2.86E+05	351024	0.0006036
287079	2.86E+05	350672	0.001606
286069	2.86E+05	350818	0.00119
286289	2.86E+05	351033	0.000578
287426	2.86E+05	350992	0.0006947
286870	2.86E+05	350908	0.0009338
286894	2.86E+05	350980	0.0007289
286313	2.86E+05	350926	0.0008826
286022	2.86E+05	350831	0.001153
287061	2.86E+05	350999	0.0006748
286573	2.86E+05	350872	0.001036
287169	2.86E+05	350876	0.001025
286628	2.86E+05	351013	0.0006349
286488	2.86E+05	350836	0.001139
285648	2.86E+05	350888	0.0009908
286826	2.86E+05	350973	0.0007488
286747	2.86E+05	350817	0.001193
286071	2.86E+05	350449	0.002241
286757	2.86E+05	350903	0.0009481
286644	2.86E+05	350794	0.001258
286536	2.86E+05	350991	0.0006975
285968	2.86E+05	351023	0.0006064
287143	2.86E+05	350928	0.0008769
286191	2.86E+05	350978	0.0007345
286647	2.86E+05	351021	0.0006121
286561	2.86E+05	350956	0.0007972
285918	2.86E+05	350949	0.0008171
287488	2.86E+05	350886	0.0009965
286240	2.86E+05	351066	0.000484
287026	2.86E+05	350955	0.0008
286538	2.86E+05	350832	0.00115
285888	2.86E+05	350929	0.0008741
286092	2.86E+05	350625	0.00174
285848	2.86E+05	350931	0.0008684
286403	2.86E+05	350934	0.0008598
286353	2.86E+05	350801	0.001238
286440	2.86E+05	350988	0.0007061
286609	2.86E+05	350750	0.001384
287366	2.86E+05	350799	0.001244
286307	2.86E+05	350946	0.0008257
286087	2.86E+05	350647	0.001677
286178	2.86E+05	350963	0.0007773
287183	2.86E+05	350909	0.000931
285688	2.86E+05	350878	0.001019
285828	2.86E+05	350960	0.0007858
286637	2.86E+05	350732	0.001435
286149	2.86E+05	350903	0.0009481
285950	2.86E+05	350911	0.0009253
283708	2.84E+05	348518	0.007738
286630	2.86E+05	350778	0.001304
286142	2.86E+05	350697	0.001535
286594	2.86E+05	350778	0.001304
286360	2.86E+05	351006	0.0006548
285905	2.86E+05	350760	0.001355
286283	2.86E+05	350777	0.001307
286487	2.86E+05	350923	0.0008911
286342	2.86E+05	350954	0.0008029
285035	2.84E+05	348220	0.008587
285770	2.85E+05	349609	0.004632
285984	2.86E+05	351030	0.0005865
286504	2.86E+05	350720	0.001469
285582	2.86E+05	350252	0.002802
286738	2.86E+05	350806	0.001224
286221	2.86E+05	351001	0.0006691
285939	2.86E+05	350601	0.001808
285775	2.86E+05	349984	0.003565
285949	2.86E+05	350834	0.001145
289487	2.86E+05	350921	0.0008968
286486	2.86E+05	350669	0.001614
286987	2.86E+05	350851	0.001096
286517	2.86E+05	350912	0.0009225
286651	2.86E+05	350890	0.0009851
286500	2.86E+05	350312	0.002631
286364	2.86E+05	350978	0.0007345
286106	2.86E+05	350788	0.001275
285945	2.86E+05	350841	0.001125
286071	2.86E+05	350551	0.00195
287404	2.86E+05	350774	0.001315
286852	2.86E+05	350796	0.001253
285506	2.86E+05	350263	0.00277
286206	2.86E+05	350241	0.002833
285588	2.86E+05	350935	0.000857
286332	2.86E+05	350403	0.002372
286081	2.86E+05	350645	0.001683
285475	2.86E+05	350004	0.003508
287147	2.86E+05	350718	0.001475
284325	2.84E+05	348429	0.007992
286264	2.86E+05	350775	0.001313
286609	2.86E+05	350814	0.001201
286315	2.86E+05	350717	0.001478
286842	2.86E+05	350700	0.001526
286396	2.86E+05	350526	0.002021
286877	2.86E+05	350725	0.001455
286273	2.86E+05	350651	0.001666
285807	2.86E+05	350764	0.001344
285681	2.86E+05	349962	0.003627
286756	2.86E+05	350817	0.001193
285480	2.86E+05	350712	0.001492
286171	2.86E+05	350686	0.001566
286952	2.86E+05	350757	0.001364
287508	2.86E+05	350841	0.001125
288281	2.86E+05	350856	0.001082
286163	2.86E+05	350902	0.0009509
287066	2.86E+05	350888	0.0009908
289238	2.86E+05	350922	0.000894
285658	2.86E+05	350722	0.001463
286005	2.86E+05	350837	0.001136
285663	2.86E+05	350870	0.001042
286598	2.86E+05	350872	0.001036
286982	2.86E+05	350765	0.001341
285474	2.86E+05	350931	0.0008684
286455	2.86E+05	350982	0.0007232
287110	2.86E+05	350908	0.0009338
286279	2.86E+05	350790	0.00127
286491	2.86E+05	350665	0.001626
286785	2.86E+05	350773	0.001318
286444	2.86E+05	350739	0.001415
286341	2.86E+05	350979	0.0007317
287141	2.86E+05	350954	0.0008029
287110	2.86E+05	350889	0.0009879
286547	2.86E+05	350822	0.001179
286281	2.86E+05	350621	0.001751
287550	2.86E+05	350474	0.002169
285952	2.86E+05	350768	0.001332
284376	2.85E+05	349510	0.004914
286300	2.86E+05	350963	0.0007773
286587	2.86E+05	350942	0.000837
287046	2.86E+05	350930	0.0008712
287611	2.86E+05	350868	0.001048
286351	2.86E+05	350529	0.002013
287457	2.86E+05	350513	0.002058
285892	2.86E+05	350709	0.0015
286768	2.86E+05	350669	0.001614
286680	2.86E+05	350793	0.001261
286013	2.86E+05	350949	0.0008171
288278	2.86E+05	350758	0.001361
286224	2.86E+05	350907	0.0009367
286006	2.86E+05	350467	0.002189
285677	2.86E+05	350394	0.002397
286260	2.86E+05	350457	0.002218
286132	2.86E+05	350645	0.001683
286509	2.86E+05	350875	0.001028
286857	2.86E+05	350915	0.0009139
286147	2.86E+05	350816	0.001196
287759	2.86E+05	350860	0.001071
285131	2.85E+05	349271	0.005595
285451	2.86E+05	350506	0.002078
286486	2.86E+05	350775	0.001313
286773	2.86E+05	350926	0.0008826
286907	2.86E+05	350851	0.001096
286899	2.86E+05	350921	0.0008968
286508	2.86E+05	350738	0.001418
285824	2.86E+05	350362	0.002488
287236	2.86E+05	350667	0.00162
286794	2.86E+05	350819	0.001187
286318	2.86E+05	350606	0.001794
286517	2.86E+05	350942	0.000837
286997	2.86E+05	350871	0.001039
286003	2.86E+05	350633	0.001717
285780	2.86E+05	350785	0.001284
285536	2.86E+05	350077	0.0033
285647	2.86E+05	349869	0.003892
286736	2.86E+05	350783	0.00129
286126	2.86E+05	350814	0.001201
286991	2.86E+05	350893	0.0009766
287004	2.86E+05	351000	0.0006719
285730	2.86E+05	350667	0.00162
286035	2.86E+05	350956	0.0007972
285643	2.86E+05	350514	0.002056
286465	2.86E+05	350161	0.003061
286386	2.86E+05	350795	0.001256
286329	2.86E+05	350592	0.001834
287111	2.86E+05	350970	0.0007573
286195	2.86E+05	350599	0.001814
286184	2.86E+05	350894	0.0009737
287090	2.86E+05	350843	0.001119
286579	2.86E+05	350711	0.001495
286267	2.86E+05	350734	0.001429
285937	2.86E+05	350789	0.001273
287187	2.86E+05	350676	0.001594
