o_hom	e_hom	nm	miss
286077	2.86E+05	350897	0.0009652
285996	2.86E+05	350941	0.0008399
287270	2.86E+05	350913	0.0009196
286751	2.86E+05	350845	0.001113
286862	2.86E+05	350776	0.00131
286635	2.86E+05	350890	0.0009851
286836	2.86E+05	350979	0.0007317
286978	2.86E+05	350941	0.0008399
285898	2.86E+05	350833	0.001147
285598	2.86E+05	350918	0.0009054
286882	2.86E+05	350907	0.0009367
286125	2.86E+05	350803	0.001233
285889	2.86E+05	350498	0.002101
285526	2.86E+05	350904	0.0009452
286328	2.86E+05	350893	0.0009766
287055	2.86E+05	350832	0.00115
286311	2.86E+05	350900	0.0009566
286272	2.86E+05	350966	0.0007687
286602	2.86E+05	350889	0.0009879
286837	2.86E+05	350917	0.0009082
287550	2.86E+05	350983	0.0007203
286339	2.86E+05	350937	0.0008513
285854	2.86E+05	350933	0.0008627
290614	2.86E+05	350760	0.001355
286429	2.86E+05	350889	0.0009879
286666	2.86E+05	350879	0.001016
291456	2.86E+05	350821	0.001182
286217	2.86E+05	350939	0.0008456
286399	2.86E+05	350917	0.0009082
287102	2.86E+05	350980	0.0007289
286286	2.86E+05	350956	0.0007972
286501	2.86E+05	350901	0.0009538
286435	2.86E+05	350887	0.0009936
286839	2.86E+05	350976	0.0007402
286422	2.86E+05	350910	0.0009282
286506	2.86E+05	350915	0.0009139
286666	2.86E+05	350852	0.001093
285849	2.86E+05	350876	0.001025
286738	2.86E+05	350887	0.0009936
286436	2.86E+05	350798	0.001247
286105	2.86E+05	350875	0.001028
286531	2.86E+05	350973	0.0007488
286655	2.86E+05	350914	0.0009168
286942	2.86E+05	350864	0.001059
286425	2.86E+05	350776	0.00131
287045	2.86E+05	350961	0.0007829
285413	2.86E+05	350954	0.0008029
287541	2.86E+05	350868	0.001048
285823	2.86E+05	350925	0.0008854
286454	2.86E+05	350864	0.001059
286033	2.86E+05	350896	0.000968
287304	2.86E+05	350908	0.0009338
286916	2.86E+05	350918	0.0009054
285677	2.86E+05	350835	0.001142
287041	2.86E+05	351003	0.0006634
287231	2.86E+05	350849	0.001102
286974	2.86E+05	350766	0.001338
286538	2.86E+05	350926	0.0008826
286631	2.86E+05	350884	0.001002
287422	2.86E+05	350876	0.001025
285639	2.86E+05	350820	0.001184
285447	2.86E+05	350643	0.001688
287203	2.86E+05	350696	0.001537
286299	2.86E+05	350904	0.0009452
286850	2.86E+05	350921	0.0008968
286541	2.86E+05	350955	0.0008
286710	2.86E+05	350764	0.001344
285811	2.86E+05	350831	0.001153
286466	2.86E+05	350963	0.0007773
286913	2.86E+05	350786	0.001281
285454	2.86E+05	351014	0.0006321
285866	2.86E+05	350898	0.0009623
285658	2.86E+05	350883	0.001005
286663	2.86E+05	350936	0.0008541
286627	2.86E+05	350896	0.000968
286079	2.86E+05	350757	0.001364
286078	2.86E+05	350946	0.0008257
286462	2.86E+05	350969	0.0007602
286471	2.86E+05	350746	0.001395
286226	2.86E+05	350908	0.0009338
286977	2.86E+05	350919	0.0009025
287751	2.86E+05	350831	0.001153
286456	2.86E+05	350193	0.00297
286526	2.86E+05	350846	0.00111
287772	2.86E+05	350899	0.0009595
286643	2.86E+05	350854	0.001088
286657	2.86E+05	350619	0.001757
285388	2.85E+05	349143	0.005959
287080	2.86E+05	350926	0.0008826
286414	2.86E+05	350748	0.001389
284683	2.84E+05	348034	0.009116
285412	2.86E+05	350207	0.00293
286502	2.86E+05	350823	0.001176
286638	2.86E+05	350891	0.0009822
286131	2.86E+05	350885	0.0009993
285532	2.86E+05	350588	0.001845
286202	2.86E+05	350929	0.0008741
286219	2.86E+05	350837	0.001136
285649	2.86E+05	350875	0.001028
286876	2.86E+05	350634	0.001714
287130	2.86E+05	350835	0.001142
286047	2.86E+05	350628	0.001731
286445	2.86E+05	350728	0.001446
285560	2.86E+05	350864	0.001059
286814	2.86E+05	350657	0.001648
286874	2.86E+05	350915	0.0009139
285603	2.86E+05	350641	0.001694
286543	2.86E+05	350766	0.001338
286879	2.86E+05	350920	0.0008997
286208	2.86E+05	350895	0.0009709
285025	2.85E+05	349163	0.005902
285940	2.86E+05	350878	0.001019
286191	2.86E+05	350787	0.001278
287411	2.86E+05	350877	0.001022
285997	2.86E+05	350657	0.001648
285415	2.86E+05	350436	0.002278
286039	2.86E+05	349833	0.003994
286713	2.86E+05	350604	0.001799
286164	2.86E+05	350557	0.001933
286653	2.86E+05	350633	0.001717
286219	2.86E+05	350704	0.001515
286220	2.86E+05	350848	0.001105
286853	2.86E+05	350938	0.0008484
286112	2.86E+05	350682	0.001577
285805	2.86E+05	350866	0.001053
286229	2.86E+05	350891	0.0009822
286369	2.86E+05	350844	0.001116
286682	2.86E+05	350865	0.001056
286324	2.86E+05	350857	0.001079
286523	2.86E+05	350768	0.001332
285053	2.86E+05	350777	0.001307
285905	2.86E+05	350812	0.001207
286400	2.86E+05	350889	0.0009879
287161	2.86E+05	350951	0.0008114
285836	2.86E+05	350798	0.001247
286157	2.86E+05	350953	0.0008057
286897	2.86E+05	350748	0.001389
285642	2.85E+05	349838	0.00398
286296	2.86E+05	350760	0.001355
286175	2.86E+05	350964	0.0007744
286740	2.86E+05	350743	0.001404
286650	2.86E+05	350664	0.001629
286514	2.86E+05	350938	0.0008484
286126	2.86E+05	350938	0.0008484
286308	2.86E+05	350875	0.001028
286355	2.86E+05	350945	0.0008285
286568	2.86E+05	350703	0.001517
286872	2.86E+05	350940	0.0008427
286369	2.86E+05	350910	0.0009282
285605	2.86E+05	350805	0.001227
286044	2.86E+05	350750	0.001384
287732	2.86E+05	350917	0.0009082
287365	2.86E+05	350720	0.001469
286666	2.86E+05	350862	0.001065
286540	2.86E+05	350999	0.0006748
286685	2.86E+05	350939	0.0008456
286486	2.86E+05	350891	0.0009822
285817	2.86E+05	350967	0.0007659
285317	2.85E+05	349429	0.005145
286487	2.86E+05	350896	0.000968
285777	2.86E+05	350994	0.000689
286890	2.86E+05	350795	0.001256
286109	2.86E+05	350968	0.000763
286454	2.86E+05	350993	0.0006918
285793	2.86E+05	350545	0.001967
286272	2.86E+05	350817	0.001193
285301	2.86E+05	350934	0.0008598
286714	2.86E+05	350961	0.0007829
287038	2.86E+05	350936	0.0008541
286794	2.86E+05	350887	0.0009936
286159	2.86E+05	350971	0.0007545
286667	2.86E+05	350822	0.001179
286595	2.86E+05	350820	0.001184
287139	2.86E+05	350960	0.0007858
286697	2.86E+05	350863	0.001062
287389	2.86E+05	350982	0.0007232
287675	2.86E+05	351018	0.0006207
287604	2.86E+05	350936	0.0008541
286221	2.86E+05	350986	0.0007118
287060	2.86E+05	351009	0.0006463
286307	2.86E+05	350873	0.001033
286665	2.86E+05	350921	0.0008968
287242	2.86E+05	350966	0.0007687
