o_hom	e_hom	nm	miss	het	logit_miss
300815	301000	367140	0.0007974	0.180653157	-7.133356405
301760	301000	367057	0.001023	0.177893352	-6.883992268
301417	301000	367124	0.000841	0.178977675	-7.080077544
301740	301000	367182	0.0006831	0.178227691	-7.288185963
302561	301000	366909	0.001426	0.175378636	-6.551454939
300402	301000	366855	0.001573	0.181142413	-6.453196416
304850	301000	367030	0.001097	0.169413944	-6.814078496
300900	301000	366835	0.001628	0.17974021	-6.418773685
301701	301000	367057	0.001023	0.17805409	-6.883992268
301053	301000	366985	0.001219	0.179658569	-6.708504685
300783	301000	367088	0.0009389	0.180624264	-6.96986224
301075	301000	367091	0.0009308	0.179835518	-6.978534893
301292	301000	366781	0.001774	0.178550688	-6.33274282
305759	301000	366566	0.00236	0.165882815	-6.046730871
300937	301000	366840	0.001614	0.179650529	-6.427424405
300546	301000	366922	0.001391	0.180899483	-6.576340398
301124	301000	367079	0.0009634	0.17967522	-6.944077999
304298	301000	366975	0.001246	0.170793651	-6.686570082
301448	301000	367067	0.0009961	0.178765729	-6.910666307
301568	301000	367053	0.001034	0.178407478	-6.873285968
300840	301000	366932	0.001364	0.180120567	-6.595968788
300984	301000	367048	0.001048	0.179987359	-6.859823144
304478	301000	366880	0.001505	0.170088312	-6.497456247
300105	301000	367014	0.00114	0.182306397	-6.775586366
301198	301000	367093	0.0009253	0.179504921	-6.98446682
303421	301000	367097	0.0009145	0.173458241	-6.996218172
301242	301000	367048	0.001048	0.179284453	-6.859823144
301383	301000	367119	0.0008546	0.179059106	-7.064022069
301943	301000	367057	0.001023	0.177394792	-6.883992268
302852	301000	367089	0.0009362	0.174990261	-6.972744791
301889	301000	367135	0.000811	0.177716644	-7.116431175
300754	301000	366958	0.001293	0.180413017	-6.649496343
300085	301000	367102	0.0009008	0.182556892	-7.011326095
300536	301000	367127	0.0008328	0.181384099	-7.089883894
301329	301000	367178	0.000694	0.179338087	-7.272344357
301190	301000	367132	0.0008192	0.179613872	-7.106362768
300873	301000	367095	0.0009199	0.180394721	-6.990325266
302056	301000	367120	0.0008519	0.177228154	-7.067189146
301520	301000	366985	0.001219	0.178386038	-6.708504685
301022	301000	367123	0.0008437	0.180051372	-7.076869521
301036	301000	367199	0.0006369	0.180182953	-7.358260798
301621	301000	367196	0.000645	0.1785831	-7.345615033
301019	301000	367102	0.0009008	0.18001264	-7.011326095
300754	301000	367215	0.0005933	0.180986615	-7.429216909
302408	301000	367047	0.001051	0.176105512	-6.856961634
301485	301000	366826	0.001652	0.178125324	-6.404115238
300817	301000	367101	0.0009036	0.180560663	-7.008219765
300954	301000	367103	0.0008981	0.180191935	-7.014330634
301321	301000	367183	0.0006804	0.179371049	-7.292149066
300708	301000	367130	0.0008246	0.180922289	-7.099787198
300018	301000	367106	0.00089	0.182748307	-7.023398699
301315	301000	367115	0.0008655	0.179235389	-7.051337309
300458	301000	366970	0.00126	0.181246423	-6.675382764
301139	301000	367051	0.00104	0.179571776	-6.867494025
300770	301000	367060	0.001015	0.180597178	-6.891851151
301004	301000	367024	0.001113	0.179879245	-6.799582587
300547	301000	367034	0.001086	0.181146706	-6.824167467
303251	301000	367144	0.0007865	0.174027085	-7.147131026
300478	301000	367187	0.0006695	0.181675822	-7.308309669
301871	301000	367159	0.0007457	0.177819419	-7.200441205
300983	301000	367069	0.0009907	0.180036996	-6.916107603
302336	301000	367023	0.001116	0.17624781	-6.796887792
302308	301000	366996	0.001189	0.176263502	-6.733452954
303745	301000	367018	0.001129	0.172397539	-6.785293356
301260	301000	367188	0.0006668	0.179548351	-7.312353385
301777	301000	367133	0.0008165	0.178017231	-7.109666812
300946	301000	367164	0.0007321	0.180349925	-7.218861073
300775	301000	367122	0.0008464	0.18072194	-7.073671738
306176	301000	366946	0.001325	0.165610199	-6.625016941
300900	301000	366950	0.001315	0.179997275	-6.632602748
301199	301000	366869	0.001535	0.179001224	-6.477688719
300883	301000	367055	0.001029	0.18027816	-6.878138292
303890	301000	366782	0.001772	0.171469701	-6.333872855
301673	301000	367077	0.0009689	0.178175151	-6.938379781
300387	301000	366926	0.00138	0.181341742	-6.584290827
300124	301000	367054	0.001031	0.182343742	-6.876194542
300272	301000	367020	0.001124	0.181864749	-6.789736895
300718	301000	367042	0.001064	0.180698667	-6.844655322
300450	301000	367092	0.0009281	0.181540322	-6.981442541
301072	301000	367061	0.001012	0.179776658	-6.894814196
300957	301000	367133	0.0008165	0.180250754	-7.109666812
300383	301000	367147	0.0007784	0.181845419	-7.157491324
301098	301000	367140	0.0007974	0.179882334	-7.133356405
303307	301000	367080	0.0009607	0.173730522	-6.946887211
300942	301000	367120	0.0008519	0.180262584	-7.067189146
301107	301000	367058	0.001021	0.179674602	-6.885951218
300438	301000	367166	0.0007267	0.18173796	-7.226269856
300732	301000	367034	0.001086	0.180642665	-6.824167467
301848	301000	367196	0.000645	0.177964902	-7.345615033
301915	301000	367194	0.0006505	0.177777959	-7.337118548
300522	301000	367154	0.0007593	0.18148243	-7.182354013
306731	301000	367150	0.0007702	0.164562168	-7.16808984
300854	301000	367003	0.00117	0.180241033	-6.749580845
300536	301000	366849	0.001589	0.180763747	-6.443060128
301841	301000	366992	0.0012	0.177527031	-6.724233002
301021	301000	366986	0.001217	0.179748001	-6.710148724
301754	301000	367191	0.0006586	0.178209706	-7.324735371
301146	301000	367158	0.0007484	0.179791806	-7.196824283
301427	301000	367149	0.0007729	0.179006343	-7.164587685
301124	301000	367074	0.000977	0.179664046	-6.930046428
300655	301000	367045	0.001056	0.180877004	-6.852210536
302429	301000	366860	0.001559	0.175628305	-6.462150472
303329	301000	366976	0.001244	0.17343641	-6.68817851
303135	301000	367042	0.001064	0.174113589	-6.844655322
300447	301000	367103	0.0008981	0.181573019	-7.014330634
301975	301000	367078	0.0009662	0.177354677	-6.941173039
300734	301000	367001	0.001176	0.180563541	-6.744459737
300948	301000	366897	0.001459	0.179747995	-6.528543944
301316	301000	367030	0.001097	0.179042585	-6.814078496
302342	301000	366885	0.001491	0.17592161	-6.506816131
301325	301000	367050	0.001042	0.179062798	-6.865570792
301743	301000	367034	0.001086	0.177888152	-6.824167467
300876	301000	367011	0.001149	0.180198959	-6.76771362
301034	301000	367110	0.0008791	0.179989649	-7.035732414
301518	301000	366850	0.001587	0.178089137	-6.444321577
302704	301000	366817	0.001676	0.174781976	-6.389667871
