X	Y
0.539849401	0.585616682
0.537742688	0.585385502
0.527635061	0.588567512
0.534456828	0.590841246
0.534296752	0.590357108
0.533741908	0.591977857
0.540281396	0.593528615
0.537374145	0.594997783
0.529779104	0.585726123
0.52808654	0.570053679
0.524776128	0.588729562
0.532506912	0.585029482
0.525318064	0.588071023
0.527143998	0.582125124
0.528886352	0.592522877
0.533607135	0.593789119
0.525629353	0.591116543
0.53831562	0.584183661
0.523989726	0.593378595
0.531564564	0.584976733
0.533352939	0.575996132
0.529715752	0.585107656
0.526338962	0.589820782
0.520253407	0.582851474
0.526270371	0.586826252
0.535030192	0.587210935
0.540707097	0.59234612
0.532024427	0.592524681
0.528364053	0.585641044
0.537146909	0.587773079
0.525973475	0.58449001
0.531343894	0.585625514
0.526475418	0.589641908
0.535122749	0.585418288
0.526368104	0.591343719
0.532816736	0.591781166
0.52631109	0.58839374
0.52783307	0.584852456
0.528384716	0.593569723
0.531824492	0.590105817
0.533807167	0.599406285
0.534026099	0.590942186
0.522438698	0.584252446
0.540049265	0.585013362
0.528036841	0.589959787
0.532021486	0.58526234
0.536625669	0.583436729
0.533761947	0.592189145
0.527341568	0.584245425
0.522855069	0.583798486
0.532325701	0.589622883
0.531256696	0.58057872
0.539436784	0.581456972
0.534969352	0.582397022
0.53498344	0.586466114
0.529372185	0.587309204
0.53184746	0.592242188
0.52749422	0.589556949
0.523853798	0.589124573
0.528133143	0.5848632
0.536046851	0.583445371
0.536624278	0.591330481
0.533707813	0.589155575
0.538524345	0.592668831
0.534286106	0.588097273
0.534521793	0.585274841
0.533748129	0.583452251
0.527431344	0.588969567
0.5322897	0.587223743
0.528714617	0.585575385
0.517955744	0.587975706
0.532165646	0.589264177
0.5286166	0.587477446
0.537062943	0.590955156
0.522829024	0.588933247
0.528340584	0.587957546
0.52619454	0.591157349
0.52655181	0.593736311
0.534331037	0.586783302
0.537666535	0.593008796
0.52465381	0.58965888
0.526143644	0.587440597
0.528832363	0.590257586
0.52866999	0.594050206
0.52920899	0.590313036
0.52850397	0.584180084
0.527839583	0.591173923
0.523058716	0.589196962
0.530933717	0.589814615
0.52711417	0.586543638
0.521925572	0.585413977
0.528134383	0.592379684
0.544848735	0.589295784
0.535018504	0.588625335
0.53002763	0.593722689
0.528123379	0.591211339
0.528137637	0.592878952
0.535511494	0.593197125
0.531412478	0.590438291
0.536562812	0.58622483
0.528504085	0.59016603
0.525499812	0.592814259
0.536362979	0.592791197
0.531903835	0.591640949
0.53283431	0.587349325
0.536131625	0.594985976
0.528363077	0.590779598
0.536601255	0.595941159
0.525747196	0.591168508
0.538071086	0.594009249
0.529347118	0.596181488
0.529355881	0.589182895
0.531729776	0.596502379
0.529263138	0.592618291
0.530369994	0.588329881
0.529451481	0.590349935
0.529630126	0.593155643
0.530189257	0.588453814
0.537060271	0.589996172
0.535681461	0.594472839
0.537812973	0.595480318
0.538172617	0.593503754
0.543814974	0.588941031
0.535353815	0.590551377
