X	Y
0.539005899	0.5849421
0.541058344	0.583025458
0.539278086	0.58776943
0.533932501	0.580958404
0.533538787	0.582298822
0.536716552	0.581694256
0.539460659	0.590650238
0.538714995	0.584121595
0.538078201	0.58491355
0.531332809	0.582408365
0.531320892	0.581705732
0.535754689	0.585899905
0.538007451	0.581130351
0.536799659	0.584715696
0.537386094	0.585052079
0.539744612	0.588763262
0.537552606	0.585551886
0.533042396	0.587534402
0.530587003	0.583593984
0.533288344	0.588033183
0.530831459	0.584433079
0.531394373	0.585489921
0.537107709	0.587605322
0.530573388	0.588496512
0.531368485	0.583098534
0.534980873	0.585680175
0.533162248	0.584185462
0.528656631	0.584225579
0.538050504	0.58841018
0.532503119	0.584467894
0.532565117	0.585810742
0.532401495	0.585944086
0.536950329	0.587643222
0.529696104	0.583519494
0.529009855	0.585101817
0.527056483	0.583917674
0.531683463	0.588619627
0.535138644	0.590697073
0.528292542	0.58594093
0.527776776	0.585730966
0.527902166	0.585098573
0.526831019	0.58966007
0.529948742	0.588583853
0.527943013	0.591513461
0.529895551	0.585911979
0.533970315	0.591627403
0.532789378	0.589654648
0.52601644	0.586624748
0.53485557	0.586998622
0.528896508	0.58013929
0.531861796	0.5801696
0.539636942	0.581218524
0.539431445	0.579760045
0.538119024	0.578657016
0.536151087	0.582297724
0.534681857	0.58169868
0.530782973	0.580313716
0.53557997	0.585463142
0.531994513	0.583442972
0.536229803	0.584100419
0.531011232	0.576338081
0.561633915	0.561297357
0.536648652	0.580089671
0.537344038	0.582320132
0.5352329	0.584805987
0.5341522	0.58913376
0.534100392	0.588234253
0.535056213	0.588943474
0.530225415	0.579026254
0.532951567	0.587706881
0.532765663	0.58588137
0.534268187	0.588077968
0.533492755	0.590254957
0.527970869	0.586021239
0.533847433	0.590496654
0.524820579	0.585278978
0.526673223	0.583449935
0.533740547	0.586381773
0.53405349	0.588086323
0.53118755	0.588630115
0.528956916	0.585581876
0.528006501	0.584799934
0.529749059	0.589894476
0.52776294	0.585998638
0.52767269	0.58303698
0.526896315	0.583136024
0.527756626	0.583568554
0.528805136	0.587409742
0.534984092	0.588701401
0.534765456	0.590346919
0.527197477	0.589169299
0.529759662	0.590645502
0.526255849	0.589274289
0.516067075	0.588773752
0.528293856	0.587394581
0.514403122	0.583069041
